business_id,subsector
7692,Telecommunications
7704,Miscellaneous
7735,Miscellaneous
7740,Restaurants
7744,Clothing & Apparel
7745,Medical Offices
7752,Bakery & Desserts
7772,Telecommunications
7786,Miscellaneous
7797,Health & Beauty
7808,Miscellaneous
7815,Automotive Retail
7831,Repair & Maintenance
7857,Financial Services
7877,Specialty Food
7895,Miscellaneous
7928,Miscellaneous
7933,Fitness & Recreation
7940,Miscellaneous
7959,Miscellaneous
7974,Miscellaneous
7975,Miscellaneous
8006,Miscellaneous
8039,Miscellaneous
8090,Specialized Healthcare
8121,Miscellaneous
8126,Repair & Maintenance
8135,Restaurants
8138,Health & Beauty
8144,Mental Health
8149,Financial Services
8157,Restaurants
8231,Miscellaneous
8233,Miscellaneous
8277,Miscellaneous
8282,Miscellaneous
8302,Specialty Retail
8303,Fitness & Recreation
8309,IT Services
8323,Restaurants
8337,Bars & Nightlife
8341,Health & Beauty
8343,Miscellaneous
8399,Miscellaneous
8423,Legal Services
8432,Repair & Maintenance
8437,Miscellaneous
8484,Miscellaneous
8508,Medical Offices
8523,Fast Food
8533,Real Estate
8536,Miscellaneous
8609,Specialized Healthcare
8617,Hotels & Motels
8622,Miscellaneous
8638,Medical Offices
8659,Fitness & Recreation
8705,Clothing & Apparel
8711,Medical Offices
8714,Financial Services
8719,Repair & Maintenance
8727,Medical Offices
8746,Miscellaneous
8765,Miscellaneous
8766,Miscellaneous
8786,Miscellaneous
8828,Miscellaneous
8839,Miscellaneous
8841,Miscellaneous
8859,Miscellaneous
8860,Restaurants
8863,Miscellaneous
8866,Miscellaneous
8868,Construction & Contractors
8877,Restaurants
8887,Miscellaneous
8910,Miscellaneous
8988,Miscellaneous
8993,Miscellaneous
9008,Miscellaneous
9070,Financial Services
9075,Miscellaneous
9089,Automotive Retail
9093,Restaurants
9094,Miscellaneous
9099,Restaurants
9102,Plumbing & HVAC
9114,Fast Food
9122,Miscellaneous
9148,Miscellaneous
9150,Miscellaneous
9151,Restaurants
9160,Restaurants
9173,Miscellaneous
9192,Fitness & Recreation
9203,Miscellaneous
9210,Restaurants
9228,Financial Services
9231,Coffee & Tea
9236,Bars & Nightlife
9245,Miscellaneous
9259,Specialty Food
9274,Miscellaneous
9292,Miscellaneous
9328,Miscellaneous
9354,Miscellaneous
9363,Health & Beauty
9372,Miscellaneous
9379,Medical Offices
9383,Miscellaneous
9399,Miscellaneous
9408,Health & Beauty
9409,Miscellaneous
9411,Miscellaneous
9416,Medical Offices
9431,Fitness & Recreation
9434,Miscellaneous
9443,Miscellaneous
9446,Miscellaneous
9469,Miscellaneous
9472,Mental Health
9481,Miscellaneous
9484,Miscellaneous
9487,Miscellaneous
9491,Telecommunications
9513,Miscellaneous
9545,Automotive Retail
9552,Miscellaneous
9575,Specialty Food
9593,Miscellaneous
9605,Specialized Healthcare
9686,Miscellaneous
9716,Construction & Contractors
9723,Coffee & Tea
9724,Health & Beauty
9729,Fast Food
9740,Repair & Maintenance
9755,Restaurants
9763,Health & Beauty
9793,Real Estate
9794,Miscellaneous
9809,Miscellaneous
9823,Miscellaneous
9834,Miscellaneous
9842,Miscellaneous
9884,Specialty Retail
9885,Home & Garden
9907,Miscellaneous
9909,Miscellaneous
9942,Miscellaneous
9943,Financial Services
9945,Miscellaneous
9986,Events & Venues
9989,Business Services
10000,Health & Beauty
10004,Clothing & Apparel
10016,Bars & Nightlife
10019,Health & Beauty
10024,Miscellaneous
10053,Miscellaneous
